House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Northumberland Drive,Susan,Jackson,35,Head,Single,Female,Ceramics designer,None,Catholic
2,Northumberland Drive,Sara,Williams,73,Head,Widowed,Female,"Retired Lecturer, further education",None,Christian
3,Northumberland Drive,Aimee,Adams,39,Head,Single,Female,"Nurse, adult",None,None
4,Northumberland Drive,Henry,Allen,56,Head,Single,Male,Dentist,None,None
5,Northumberland Drive,Jasmine,Connolly,45,Head,Single,Female,"Designer, textile",None,Catholic
5,Northumberland Drive,Aaron,Connolly,13,Son,NA,Male,Student,None,NA
6,Northumberland Drive,Stephanie,Clark,21,Head,Divorced,Female,Speech and language therapist,None,None
7,Northumberland Drive,Charlene,Greenwood,48,Head,Single,Female,Museum/gallery exhibitions officer,None,Christian
7,Northumberland Drive,Patrick,Nolan,49,Partner,Single,Male,"Journalist, broadcasting",None,Christian
8,Northumberland Drive,Benjamin,Ferguson,89,Head,Widowed,Male,Retired Chemical engineer,None,Christian
9,Northumberland Drive,Olivia,Bishop,29,Head,Widowed,Female,"Pharmacist, hospital",None,None
10,Northumberland Drive,Caroline,Hodgson,46,Head,Married,Female,Licensed conveyancer,None,None
10,Northumberland Drive,Dennis,Hodgson,49,Husband,Married,Male,"Designer, jewellery",None,None
10,Northumberland Drive,Donald,Hodgson,23,Son,Single,Male,Investment analyst,None,None
11,Northumberland Drive,Alice,Palmer,49,Head,Married,Female,Contracting civil engineer,None,None
11,Northumberland Drive,Mathew,Palmer,49,Husband,Married,Male,"Programmer, systems",None,None
11,Northumberland Drive,Grace,Palmer,33,Daughter,Single,Female,Set designer,None,None
12,Northumberland Drive,Chloe,Baker,32,Head,Divorced,Female,Multimedia specialist,None,None
13,Northumberland Drive,Dorothy,Price,40,Head,Married,Female,"Surveyor, quantity",None,Catholic
13,Northumberland Drive,Josh,Price,40,Husband,Married,Male,Civil Service fast streamer,None,None
14,Northumberland Drive,Andrea,Fitzgerald,45,Head,Divorced,Female,Cabin crew,None,Catholic
14,Northumberland Drive,Marilyn,Fitzgerald,13,Daughter,NA,Female,Student,None,NA
14,Northumberland Drive,Craig,Fitzgerald,11,Son,NA,Male,Student,None,NA
15,Northumberland Drive,Toby,Archer,80,Head,Widowed,Male,Retired Geophysical data processor,None,Christian
16,Northumberland Drive,Daniel,Murray,74,Head,Widowed,Male,Retired Comptroller,None,Christian
17,Northumberland Drive,Adam,Hicks,56,Head,Single,Male,"Producer, television/film/video",None,Muslim
17,Northumberland Drive,Katy,Davies,34,None,Single,Female,Air broker,None,Christian
18,Northumberland Drive,Amanda,Patel,69,Head,Widowed,Female,"Retired Administrator, local government",None,Christian
18,Northumberland Drive,Terry,Patel,51,Son,Single,Male,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
19,Northumberland Drive,Amy,Wilkins,75,Head,Married,Female,Retired Herbalist,None,None
19,Northumberland Drive,Adam,Wilkins,76,Husband,Married,Male,Retired Town planner,None,None
19,Northumberland Drive,Mandy,Wilkins,35,Daughter,Divorced,Female,Lobbyist,None,None
20,Northumberland Drive,Gavin,Buckley,41,Head,Single,Male,Primary school teacher,None,Catholic
21,Northumberland Drive,Joseph,Pearce,29,Head,Single,Male,Unemployed,None,None
21,Northumberland Drive,Michael,Stokes,52,None,Single,Male,Records manager,None,Methodist
21,Northumberland Drive,Pamela,Brooks,57,None,Single,Female,Consulting civil engineer,None,Christian
22,Northumberland Drive,Leigh,Cunningham,59,Head,Single,Male,"Education officer, community",None,Christian
23,Northumberland Drive,Geoffrey,Knight,48,Head,Single,Male,"Education officer, community",None,Christian
24,Northumberland Drive,Rosemary,Thompson,36,Head,Single,Female,Unemployed,None,Christian
24,Northumberland Drive,Brian,Miller,40,Partner,Single,Male,Advertising account planner,None,Christian
25,Northumberland Drive,Eileen,Parkin,83,Head,Divorced,Female,Retired Legal secretary,None,Christian
26,Northumberland Drive,Charlene,Ward,41,Head,Single,Female,Hydrographic surveyor,None,Methodist
26,Northumberland Drive,Kelly,Long,29,None,Single,Female,"Psychotherapist, dance movement",None,Catholic
